Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,32900.000000,33200.000000,32000.000000,32250.000000,27440.580078,1287966
2018-06-15,32650.000000,32650.000000,32100.000000,32200.000000,27398.035156,973900
2018-06-18,32400.000000,32650.000000,31800.000000,32000.000000,27227.863281,943066
2018-06-19,31750.000000,32450.000000,31650.000000,31700.000000,26972.601563,1333798
2018-06-20,31700.000000,31800.000000,31150.000000,31500.000000,26802.425781,961979
2018-06-21,31400.000000,31550.000000,30600.000000,30800.000000,26206.816406,1446930
2018-06-22,30450.000000,31300.000000,30450.000000,31300.000000,26632.250000,807862
2018-06-25,31200.000000,31550.000000,30750.000000,31450.000000,26759.880859,716331
2018-06-26,31250.000000,32000.000000,31050.000000,31950.000000,27185.316406,889527
2018-06-27,31750.000000,32050.000000,30850.000000,31000.000000,26376.990234,892836
2018-06-28,30700.000000,30800.000000,30550.000000,30700.000000,26121.730469,753413
2018-06-29,30750.000000,30900.000000,30550.000000,30850.000000,26249.361328,629008
2018-07-02,30850.000000,31100.000000,30650.000000,30800.000000,26206.816406,886262
2018-07-03,30850.000000,31200.000000,30800.000000,30950.000000,26334.447266,763678
2018-07-04,30550.000000,30700.000000,29450.000000,29550.000000,25143.228516,1614173
2018-07-05,29550.000000,29850.000000,29500.000000,29700.000000,25270.857422,855468
2018-07-06,30100.000000,31250.000000,30050.000000,31050.000000,26419.533203,1366055
2018-07-09,30900.000000,31400.000000,30800.000000,31400.000000,26717.339844,579067
2018-07-10,31100.000000,31350.000000,31000.000000,31100.000000,26462.076172,594046
2018-07-11,30800.000000,31200.000000,30600.000000,30900.000000,26291.904297,642802
2018-07-12,31350.000000,31850.000000,31000.000000,31350.000000,26674.796875,1177320
2018-07-13,31350.000000,31700.000000,31250.000000,31450.000000,26759.880859,597254
2018-07-16,31100.000000,32450.000000,31100.000000,31950.000000,27185.316406,750886
2018-07-17,31850.000000,32400.000000,31850.000000,32400.000000,27568.208984,923642
2018-07-18,32250.000000,32450.000000,31600.000000,31600.000000,26887.511719,557572
2018-07-19,31600.000000,32350.000000,31600.000000,31900.000000,27142.775391,658848
2018-07-20,31800.000000,32550.000000,31400.000000,32200.000000,27398.035156,648184
2018-07-23,32250.000000,32850.000000,32200.000000,32500.000000,27653.296875,757274
2018-07-24,32500.000000,32500.000000,31450.000000,31800.000000,27057.687500,1057229
2018-07-25,31500.000000,32300.000000,31500.000000,32200.000000,27398.035156,723368
2018-07-26,32600.000000,32700.000000,31800.000000,31850.000000,27100.230469,697126
2018-07-27,32350.000000,32700.000000,31800.000000,31950.000000,27185.316406,637245
2018-07-30,31650.000000,32000.000000,31550.000000,31700.000000,26972.601563,411187
2018-07-31,31800.000000,31950.000000,31500.000000,31700.000000,26972.601563,636196
2018-08-01,31650.000000,31950.000000,31500.000000,31750.000000,27015.142578,392523
2018-08-02,31650.000000,32000.000000,31000.000000,31050.000000,26419.533203,442787
