Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,12.000000,12.010000,11.840000,11.890000,9.508036,34523000
2018-06-15,11.840000,12.030000,11.800000,11.880000,9.500040,56326800
2018-06-18,11.820000,12.040000,11.810000,11.990000,9.588002,32706500
2018-06-19,11.820000,11.890000,11.670000,11.890000,9.508036,40064800
2018-06-20,11.970000,12.050000,11.830000,11.870000,9.492043,31964800
2018-06-21,11.800000,11.830000,11.640000,11.710000,9.364096,33316700
2018-06-22,11.750000,11.870000,11.620000,11.650000,9.316115,36703500
2018-06-25,11.630000,11.670000,11.380000,11.500000,9.196167,36101900
2018-06-26,11.560000,11.630000,11.490000,11.520000,9.212159,36627700
2018-06-27,11.540000,11.640000,11.400000,11.420000,9.132193,27242000
2018-06-28,11.370000,11.400000,11.150000,11.280000,9.020240,43836400
2018-06-29,11.320000,11.370000,11.030000,11.070000,8.852309,44718500
2018-07-02,11.020000,11.110000,10.910000,11.100000,8.876300,37892800
2018-07-03,11.100000,11.150000,10.940000,10.990000,8.788336,16544800
2018-07-05,11.100000,11.140000,11.020000,11.050000,8.836316,32008500
2018-07-06,11.040000,11.100000,10.920000,11.060000,8.844315,25646700
2018-07-09,11.100000,11.260000,11.030000,11.200000,8.956264,23916800
2018-07-10,11.200000,11.260000,11.170000,11.250000,8.996249,21231500
2018-07-11,11.150000,11.170000,11.050000,11.070000,8.852309,30030100
2018-07-12,11.100000,11.140000,11.000000,11.050000,8.836316,27025200
2018-07-13,11.020000,11.050000,10.910000,10.980000,8.780338,36561500
2018-07-16,10.950000,10.970000,10.760000,10.850000,8.676384,46156800
2018-07-17,10.800000,10.900000,10.800000,10.860000,8.684379,37584300
2018-07-18,10.850000,10.900000,10.810000,10.870000,8.692375,36420000
2018-07-19,10.890000,10.900000,10.770000,10.820000,8.652392,40308800
2018-07-20,10.680000,10.720000,10.510000,10.560000,8.563193,41531200
2018-07-23,10.560000,10.570000,10.420000,10.470000,8.490211,34942000
2018-07-24,10.510000,10.740000,10.500000,10.570000,8.571302,47303000
2018-07-25,10.320000,10.570000,10.120000,10.520000,8.530755,92497700
2018-07-26,10.140000,10.160000,9.840000,9.890000,8.019884,103893000
2018-07-27,9.960000,10.050000,9.910000,9.930000,8.052320,46171100
2018-07-30,9.960000,10.100000,9.930000,10.070000,8.165848,35877000
2018-07-31,10.110000,10.110000,10.000000,10.040000,8.141520,38026900
2018-08-01,10.060000,10.080000,9.820000,9.900000,8.027993,44126700
2018-08-02,9.900000,9.980000,9.840000,9.920000,8.044212,40318900
2018-08-03,9.930000,10.060000,9.930000,10.040000,8.141520,25925100
2018-08-06,10.000000,10.050000,9.970000,10.030000,8.133410,22247900
2018-08-07,10.040000,10.100000,10.020000,10.080000,8.173957,27961200
2018-08-08,10.050000,10.100000,10.040000,10.050000,8.149629,22600900
2018-08-09,10.060000,10.070000,9.900000,9.910000,8.036102,35682600
2018-08-10,9.910000,9.910000,9.720000,9.740000,7.898247,39180500
2018-08-13,9.740000,9.750000,9.420000,9.460000,7.671194,66586200
2018-08-14,9.510000,9.620000,9.450000,9.500000,7.703631,37657400
2018-08-15,9.460000,9.500000,9.350000,9.450000,7.663084,36298600
2018-08-16,9.500000,9.600000,9.490000,9.510000,7.711739,28857700
2018-08-17,9.530000,9.600000,9.460000,9.550000,7.744175,32742900
2018-08-20,9.560000,9.740000,9.560000,9.720000,7.882030,25252500
2018-08-21,9.770000,9.900000,9.690000,9.860000,7.995556,46413900
2018-08-22,9.790000,9.820000,9.680000,9.690000,7.857701,30803700
2018-08-23,9.670000,9.690000,9.580000,9.630000,7.809049,31511800
2018-08-24,9.650000,9.700000,9.610000,9.680000,7.849594,18380000
2018-08-27,9.750000,10.040000,9.730000,9.990000,8.100974,49769300
2018-08-28,10.080000,10.090000,9.950000,10.010000,8.117193,33845500
2018-08-29,10.010000,10.020000,9.900000,9.970000,8.084756,37336400
2018-08-30,9.870000,9.910000,9.670000,9.700000,7.865811,48539300
2018-08-31,9.640000,9.680000,9.400000,9.480000,7.687411,76424900
2018-09-04,9.530000,9.580000,9.360000,9.470000,7.679303,54111100
2018-09-05,9.470000,9.550000,9.320000,9.490000,7.695519,44561900
2018-09-06,9.480000,9.550000,9.400000,9.430000,7.646867,29519100
2018-09-07,9.410000,9.490000,9.250000,9.270000,7.517121,51229900
2018-09-10,9.310000,9.490000,9.300000,9.380000,7.606321,30421700
2018-09-11,9.350000,9.360000,9.220000,9.310000,7.549556,27158400
2018-09-12,9.310000,9.420000,9.280000,9.340000,7.573884,25450000
2018-09-13,9.380000,9.410000,9.310000,9.370000,7.598212,29315700
2018-09-14,9.380000,9.480000,9.360000,9.450000,7.663084,30013300
2018-09-17,9.440000,9.600000,9.430000,9.550000,7.744175,29544400
2018-09-18,9.540000,9.610000,9.480000,9.580000,7.768503,57055400
2018-09-19,9.610000,9.830000,9.610000,9.780000,7.930684,40111500
2018-09-20,9.830000,9.930000,9.710000,9.810000,7.955011,46314400
2018-09-21,9.840000,9.940000,9.780000,9.850000,7.987449,74488600
2018-09-24,9.780000,9.850000,9.520000,9.590000,7.776611,43170800
